# Purpose: compare stored GEOS kro with Thomas Table 3 and Eq. (25) at 2.5 years.
subregion,height_m,volume_m3,oil_saturation,gas_saturation,water_saturation,geos_oil_relperm,thomas_eq25_oil_relperm,geos_minus_thomas,geos_over_thomas
m_3_3_6,2.8959048000000003,0.4530695454719993,0.25413287398480644,0.5455546230374718,0.200312502977722,0.0016800429909151204,0.002109933773492667,-0.00042989078257754665,0.7962538976444131
m_3_4_1,0.1527048,0.22653477273600015,0.7974078935281974,0.0021063720763184876,0.20048573439548384,0.9918207542537276,0.9923287005057301,-0.0005079462520024558,0.9994881270170423
m_3_4_2,0.6099048,0.4530695454720003,0.527823302905548,0.27176136095698467,0.2004153361374677,0.3052492778461104,0.30599333707493886,-0.0007440592288284753,0.997568380946
m_3_4_3,1.2195047999999997,0.45306954547200023,0.3559710976583781,0.4436239195517492,0.20040498278987257,0.07346085958466561,0.07384172535178363,-0.000380865767118016,0.9948421334238391
m_3_4_4,1.8291047999999999,0.4530695454720002,0.3007716989467865,0.49883506171809755,0.20039323933511574,0.02813465019744832,0.028557525250565652,-0.0004228750531173331,0.9851921674092206
m_3_4_5,2.4387048,0.4530695454720007,0.2735687166364475,0.5260506184245469,0.20038066493900564,0.012621517610700794,0.012982281850294541,-0.00036076423959374715,0.9722110300982595
m_3_4_6,2.8959048000000003,0.2265347727359999,0.2540292669514624,0.5456584871441867,0.20031224590435076,0.0016217033066610043,0.002051938436910483,-0.0004302351302494789,0.7903274666966784
m_3_5_1,0.1527048,0.11326738636799981,0.7983100045688295,0.0012043774126412883,0.20048561801852924,0.9945279667291863,0.9950316378646271,-0.0005036711354408085,0.9994938139489496
m_3_5_2,0.6099048,0.22653477273599962,0.5313158664623764,0.2682679645061078,0.20041616903151607,0.31223250384783585,0.3129733892013816,-0.0007408853535457727,0.9976327528821658
m_3_5_3,1.2195047999999997,0.22653477273599962,0.3560615511435262,0.4435328795495498,0.2004055693069241,0.0735350924036791,0.07391585605468651,-0.00038076365100740694,0.9948486878008191
m_3_5_4,1.8291047999999999,0.22653477273599956,0.30066987274532797,0.4989365111652417,0.20039361608942993,0.028051006959213868,0.02847391468242566,-0.0004229077232117927,0.9851475384425165
m_3_5_5,2.4387048,0.22653477273599984,0.273527088874505,0.5260919819256626,0.20038092919983252,0.01259806211482817,0.012958750446033507,-0.0003606883312053371,0.9721664266390948
