density [kg/m3],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 54500000,999.2456301834991,999.4704857455924,999.6953919058794,999.9203486757458,1000.1453560665801,1000.3704140897732,1000.5955227567187,1000.820682078813
pressure [Pa] = 55000000,1001.0458920674542,1001.271152734044,1001.4964640899863,1001.7218261466871,1001.9472389155557,1002.1727024080034,1002.3982166354444,1002.6237816092954
pressure [Pa] = 55500000,1002.8493973409755,1003.0750638419066,1003.3007811235127,1003.5265491972215,1003.7523680744619,1003.9782377666661,1004.2041582852688,1004.4301296417074
pressure [Pa] = 56000000,1004.6561518474214,1004.8822249138531,1005.1083488524481,1005.3345236746532,1005.5607493919186,1005.7870260156975,1006.0133535574446,1006.2397320286179
pressure [Pa] = 56500000,1006.4661614406781,1006.6926418050878,1006.9191731333127,1007.145755436821,1007.3723887270831,1007.5990730155728,968.3110385518003,968.528933047686
pressure [Pa] = 57000000,968.7468765753491,968.9648691458231,969.1829107701436,969.4010014593493,969.6191412244812,969.8373300765819,970.0555680266979,970.2738550858772
pressure [Pa] = 57500000,970.4921912651705,970.7105765756314,970.9290110283154,971.1474946342806,971.366027404588,971.5846093503008,971.8032404824845,972.0219208122078
pressure [Pa] = 58000000,972.2406503505409,972.459429108557,972.6782570973319,972.897134327944,973.1160608114735,973.3350365590039,973.5540615816208,973.7731358904119
pressure [Pa] = 58500000,973.9922594964686,974.2114324108836,974.4306546447526,974.6499262091736,974.8692471152474,975.0886173740769,975.3080369967679,975.5275059944285
pressure [Pa] = 59000000,975.7470243781694,975.9665921591036,976.1862093483464,976.4058759570166,976.6255919962344,976.8453574771231,977.0651724108081,977.2850368084178
pressure [Pa] = 59500000,977.5049506810826,977.7249140399358,977.9449268961129,978.1649892607521,978.3851011449942,978.6052625599823,978.8254735168618,979.0457340267814
pressure [Pa] = 60000000,979.2660441008911,979.4864037503447,979.7068129862979,979.9272718199085,980.1477802623374,980.3683383247479,980.5889460183059,980.8096033541793
pressure [Pa] = 60500000,981.0303103435393,981.2510669975588,981.4718733274138,981.6927293442826,981.9136350593462,982.1345904837877,982.3555956287929,982.5766505055503
pressure [Pa] = 61000000,982.7977551252511,983.0189094990883,983.2401136382582,983.4613675539588,983.6826712573915,983.9040247597595,984.1254280722691,984.3468812061286
pressure [Pa] = 61500000,984.5683841725494,984.7899369827446,985.0115396479306,985.2331921793262,985.4548945881521,985.6766468856325,985.8984490829932,986.1203011914631
pressure [Pa] = 62000000,986.3422032222735,986.5641551866582,986.7861570958534,987.008208961098,987.2303107936334,987.4524626047036,987.6746644055548,987.8969162074362
pressure [Pa] = 62500000,988.1192180215991,988.3415698592976,988.5639717317885,988.7864236503303,989.0089256261853,989.2314776706172,989.454079794893,989.6767320102817
pressure [Pa] = 63000000,989.8994343280553,990.1221867594879,990.3449893158567,990.5678420084404,990.7907448485214,991.0136978473842,991.2367010163155,991.4597543666049
pressure [Pa] = 63500000,991.682857909545,991.9060116564298,992.1292156185565,992.352469807225,992.5757742337374,992.799128909399,993.0225338455164,993.2459890533996
pressure [Pa] = 64000000,993.4694945443616,993.6930503297167,993.9166564207827,994.1403128288798,994.3640195653305,994.5877766414596,994.8115840685955,995.0354418580677
pressure [Pa] = 64500000,995.2593500212096,995.4833085693562,995.7073175138456,995.9313768660179,996.1554866372168,996.379646838787,996.6038574820774,996.8281185784379
pressure [Pa] = 65000000,997.0524301392223,997.2767921757862,997.5012046994881,997.7256677216884,997.950181253751,998.1747453070417,998.399359892929,998.6240250227843
pressure [Pa] = 65500000,998.848740707981,999.0735069598954,999.2983237899064,999.5231912093952,999.7481092297456,999.9730778623444,1000.1980971185804,1000.4231670098453
pressure [Pa] = 66000000,1000.6482875475333,1000.8734587430412,1001.098680607768,961.5282361180041,961.7446043116397,961.9610211935961,962.1774867748293,962.394001066298
pressure [Pa] = 66500000,962.6105640789632,962.8271758237884,963.0438363117396,963.2605455537853,963.4773035608962,963.6941103440458,963.9109659142101,964.1278702823671
pressure [Pa] = 67000000,964.3448234594979,964.5618254565854,964.7788762846155,964.9959759545767,965.2131244774591,965.4303218642561,965.6475681259637,965.8648632735794
pressure [Pa] = 67500000,966.0822073181041,966.2996002705406,966.5170421418946,966.7345329431744,966.9520726853898,967.1696613795541,967.3872990366827,967.6049856677936
pressure [Pa] = 68000000,967.822721283907,968.040505896046,968.2583395152359,968.4762221525043,968.6941538188817,968.9121345254008,969.130164283097,969.3482431030078
pressure [Pa] = 68500000,969.5663709961739,969.7845479736375,970.002774046444,970.2210492256413,970.4393735222794,970.6577469474109,970.8761695120912,971.0946412273777
pressure [Pa] = 69000000,971.3131621043307,971.5317321540126,971.7503513874888,971.9690198158266,972.1877374500963,972.4065043013704,972.6253203807241,972.8441856992347
pressure [Pa] = 69500000,973.0631002679826,973.28206409805,973.501077200522,973.7201395864864,973.9392512670331,974.1584122532544,974.3776225562458,974.5968821871043
pressure [Pa] = 70000000,974.8161911569304,975.0355494768263,975.2549571578969,975.4744142112502,975.6939206479959,975.9134764792465,976.133081716117,976.352736369725
pressure [Pa] = 70500000,976.5724404511905,976.7921939716359,977.0119969421864,977.2318493739693,977.451751278115,977.6717026657559,977.8917035480267,978.1117539360654
